PedigreeId,Correct_IP,ResultsXLR,ResultsXLD,ResultsAR,ResultsAD
1084LN.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 4.9367722683582323e-09, 6.633194119756172e-09]"
2055JS.json,AR,"[4.0, 2.0, 0.0065917968749999462, 0, 0]","[4.0, 2.0, 0, 3.7962994377822623e-05, 0]","[4.0, 2.0, 0.079101562500000458, 0, 0]","[4.0, 2.0, 0, 2.9548289384085761e-05, 1.6140652022114767e-07]"
230KK.json,AR,"[4.0, 2.0, 0.052734375000000243, 0, 0]","[4.0, 2.0, 0, 8.892260166963628e-06, 1.1493082678059392e-05]","[4.0, 2.0, 0.14062500000000078, 0, 0]","[4.0, 2.0, 0, 7.922224190325125e-05, 4.3390402549946183e-06]"
235TL.json,AR,"[5.0, 3.0, 0, 0.046875000000000201, 0, 0]","[5.0, 3.0, 0, 0.051091616737949361, 0.004909735814234005, 0.0024439187501262231]","[5.0, 3.0, 0.25000000000000128, 0, 0, 0]","[5.0, 3.0, 0, 0.0098663679084197171, 0.0027322352520488262, 0.00050837332486071603]"
273PA.json,XL,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 4.9390663883818125e-05, 8.8534889862772844e-06]"
277DP.json,XL,"[5.0, 3.0, 0.25000000000000128, 0.25000000000000128, 0, 0]","[5.0, 3.0, 0, 0.0068514669320750851, 0.0050363499035317337, 0]","[5.0, 3.0, 0.14062500000000078, 0, 0, 0]","[5.0, 3.0, 0, 0.0017342094366584605, 0.0041271820441524292, 0.0002440675568451155]"
302KW.json,XL,"[5.0, 3.0, 0.062500000000000305, 0.12500000000000064, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.0020013680241382278, 0.0068194900701795185, 0.001799788214802803]"
3061JE.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000000128, 0.56250000000000211, 0.013889537978634315]","[5.0, 3.0, 0.062500000000000305, 0, 0, 0]","[5.0, 3.0, 0, 0.047154884964931802, 0.33495341680593921, 0.011611252326382885]"
3204RS.json,M,"[6.0, 4.0, 0, 0.0018539428710937517, 0, 0, 0]","[6.0, 4.0, 0, 0, 0.007876148204836779, 0.00097656250000000607, 0.00024414062499999932]","[6.0, 4.0, 0.14062500000000078, 0, 0, 0, 0]","[6.0, 4.0, 0, 0.00030083053243733378, 0.00073950529117183881, 6.8921128513910329e-05, 2.5776377666910811e-05]"
3235JW.json,AD,"[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 4.9151780976797429e-09, 1.18762273084993e-08, 6.4611359728603896e-09, 1.5980686889260758e-11, 0, 0]"
